Date,Description,Amount,AutoCategory,AccHolder,BankName,AccType,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,Payment to Chase card ending in 7345 05/01,-89.18,,joint,chase,checking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,Autosave SavePerMonth 11385149626,-25,,nowrin,chase,checking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,Autosave SavePerMonth 11384992274,-25,,sachin,chase,checking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,Autosave SavePerMonth 11385149626,25,,nowrin,chase,savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,Autosave SavePerMonth 11384992274,25,,sachin,chase,savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2023,Payment Thank You-Mobile,89.18,,nowrin,chase,credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2023,Univ of Michigan UMich ePay 430230726       WEB ID: 1364199567,-1318,,joint,chase,debit,house,rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2023,Zelle payment to Smit Kothari 17254520536,-1500,,joint,chase,debit,transfer,zelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2023,Zelle payment to Smit Kothari 17254509251,-500,,nowrin,chase,debit,transfer,zelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2023,Online Transfer to  SAV ...2267 transaction#: 16991532655,-250,,nowrin,chase,debit,transfer,online transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2023,INTERNET PAYMENT - THANK YOU,465.45,Payments and Credits,sachin,discover,credit,transfer,credit bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2023,Online Transfer from  CHK ...7138 transaction#: 16991532655,250,,nowrin,chase,savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2023,Online Transfer to CHK ...7386 transaction#: 17264541636 05/04,-1350,,sachin,chase,debit,transfer,online transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
