Date,Amount,Description
2022-08-31,150.0,ATM Deposit 530 S State St Ann Arbor Mi
2022-09-01,1.49,POS Purchase CVS/Pharmacy # Ann Arbor Mi Machine/Debit Card deductions
2022-09-06,1.0,Zel From Sachin Salim
2022-09-06,1.0,Zel To Sachin Salim
2022-09-06,5.72,8810 Debit Card Purchase Sq *Coco Fresh totaling $201.32. Tea & J
2022-09-06,87.0,POS Purchase Wal-Mart #5472 Saline Mi
2022-09-07,55.0,Zel To Sachin Salim
2022-09-07,980.0,ATM Deposit 2101 Bonisteel Ann Arbor Mi
2022-09-09,32.4,8810 Debit Card Purchase Douglas J * Douglas J
2022-09-12,37.09,8810 Debit Card Purchase JCPenney 0819
2022-09-12,126.11,8810 Debit Card Purchase JCPenney 0819 Ann Arb
2022-09-13,11.45,8810 Debit Card Purchase Panda Express
2022-09-13,13.41,8810 Debit Card Purchase Panda Express #1124
2022-09-14,20.0,8810 Debit Card Purchase Burger 1 Ann Arbor Mi
2022-09-15,18.35,POS Purchase Om Market Ann Arbor Mi
2022-09-15,127.84,Zel To Sai Subrahmanya
2022-09-19,6.35,POS Purchase Kroger #605 26 Ann Arbor Mi
2022-09-19,9.04,Web Pmt- 800477474 Dte Energy
2022-09-19,9.58,POS Purchase Kroger #605 26 Ann Arbor Mi
2022-09-19,13.74,8810 Debit Card Purchase The Salvation Army 27
2022-09-19,25.44,8810 Debit Card Purchase Cardamomrestaurant
2022-09-19,37.09,Debit Card Credit JCPenney 0819 Ann Arbor Mi
2022-09-19,99.62,Debit Card Credit JCPenney 0819 Ann Arbor Mi
2022-09-20,17.15,8810 Debit Card Purchase Burger 1 Ann Arbor Mi
2022-09-20,18.23,POS Purchase Om Market Ann Arbor Mi
2022-09-26,5.29,8810 Debit Card Purchase Charminar Express
2022-09-26,8.58,8810 Debit Card Purchase Burger 1 Ann Arbor Mi
2022-09-26,18.02,8810 Debit Card Purchase Tst* Alley Bar - Ann A
2022-09-26,21.19,8810 Debit Card Purchase Charminar Express
2022-09-26,28.58,8810 Debit Card Purchase Applebees 773565177354
2022-09-26,46.0,8810 Debit Card Purchase Detroit Zoological Soc
2022-09-26,428.0,Zel To Sachin Salim
2022-09-26,1000.0,ATM Deposit 2101 Bonisteel Ann Arbor Mi
2022-09-26,1000.0,ATM Deposit 2101 Bonisteel Ann Arbor Mi
2022-09-29,24.73,POS Purchase Shell Service Bridgeport Mi
2022-09-30,3.6,8810 Debit Card Purchase A2 Pci Parking 88 Ramp
2022-09-30,14.5,8810 Debit Card Purchase Sq *Harless + Hugh Cof
2022-10-03,2.98,8810 Debit Card Purchase Blue Market At Pierpon
2022-10-03,17.99,8810 Debit Card Purchase Wendy's 3150
2022-10-03,33.7,Zel From Karishma Anandan
