Keyword,Category,Subcategory
flyover chicago,entertainment,chicago
shoreline sightseeing,entertainment,chicago
argo canoe livery,entertainment,kayak
bridal cave,entertainment,missouri
lakeoftheozarks,entertainment,missouri
a chau market,groceries,a chau market
community butcher,groceries,community butcher
desi bazaar,groceries,desi bazaar
famous chicken center,groceries,famous chicken center
hanuma grocers,groceries,hanuma grocers
india mart,groceries,india mart
india plaza,groceries,india plaza
kroger,groceries,kroger
metro market,groceries,metro market
om market,groceries,om market
instacart,groceries,online
patel brothers,groceries,patel brothers
walmart,groceries,walmart
wal-mart,groceries,walmart
epic denta,health,dental
ghan and cooper,house,rent
univ of michigan umich epay,house,rent
moneyline,investment,fidelity
burger 1,restaurant,burger 1
bushi bushi,restaurant,bushi bushi
cups n chai,restaurant,cups n chai
dj's bakery,restaurant,dj's bakery
domino's,restaurant,domino's
dtw pf changs,restaurant,dtw pf changs
einstein bros,restaurant,einstein bros
FRONTIER AIRLINES ONBOARD,restaurant,frontier
ihop,restaurant,ihop
kirpa indian cuisine,restaurant,kirpa indian cuisine
mcdonald,restaurant,mcdonald
market@work,restaurant,ncrc-pantry
doordash,restaurant,online
panda express,restaurant,panda express
panera bread,restaurant,panera bread
picasso ncrc,restaurant,picasso ncrc
popeyes,restaurant,popeyes
qahwah,restaurant,qahwah
rao gari vindu,restaurant,rao gari vindu
saravanaa bhavan,restaurant,saravanaa bhavan
sri sai indian cuisine,restaurant,sri sai indian cuisine
starbucks,restaurant,starbucks
taste of india,restaurant,taste of india
thalaivas,restaurant,thalaivas
viras kerala kitchen,restaurant,viras kerala kitchen
blfd main,income,littlecaesar
univ of michigan dir dep,income,michigan
UNIV OF MICHIGAN,income,michigan
wal-mart assocs.,income,walmart
wal-mart stores trade pymt,income,walmart
tropical nails and spa,selfcare,nails
ROUGE SALON,selfcare,spa
GREAT CLIPS,selfcare,haircut
hm.com,shopping,clothes
jcpenney,shopping,clothes
lulus,shopping,clothes
macys,shopping,clothes
nike.com,shopping,clothes
u-of-mich-ncamp-book,shopping,clothes
gap us,shopping,clothes
Francescas,shopping,clothes
athleta,shopping,clothes
soma intimates,shopping,clothes
zara.com,shopping,clothes
7-eleven,shopping,groceries
amazon.com,shopping,online
amazon mktpl,shopping,online
amzn,shopping,online
target,shopping,target
amazon prime,subscriptions,amazon prime
doordash dashpass,subscriptions,doordash
doordashdashpass,subscriptions,doordash
google storage,subscriptions,google
hulu,subscriptions,hulu
linkedin,subscriptions,linkedin
lucid,subscriptions,lucid
ANNUAL MEMBERSHIP FEE,subscriptions,sapphire
nord,subscriptions,nord
peacock,subscriptions,peacock
netflix,subscriptions,netflix
lending,social,lending
atm withdrawal,transfer,atm
automatic payment - thank,transfer,credit bill
chase credit crd autopay,transfer,credit bill
discover e-payment,transfer,credit bill
internet payment - thank you,transfer,credit bill
payment thank you - web,transfer,credit bill
payment thank you-mobile,transfer,credit bill
payment to chase card,transfer,credit bill
online transfer from,transfer,online transfer
online transfer to,transfer,online transfer
cash redemption,transfer,reward
autosave savepermonth,transfer,internal
sofi bank,transfer,internal
zel,transfer,zelle
JPMORGAN CHASE BANK,transfer,internal
From Savings,transfer,internal
To Checking,transfer,internal
michigan flyer,travel,bus
lyft,travel,cab
uber,travel,cab
american,travel,flight
frontier,travel,flight
spirit,travel,flight
united,travel,flight
WAL-MART gasoline,travel,gas
colonial bp,travel,gas
speedway,travel,gas
carpenters,travel,rental
enterprise,travel,rental
zipcar,travel,rental
airbnb,travel,stay
expedia,travel,stay
amtrak,travel,train
carroll,utilities,electricity
att*bill,utilities,wifi
PROG DIRECT,utilities,car insurance
tmobile,utilities,tmobile
verizon,utilities,verizon
INT'L EDUCATION,education,ierf
Interest earned,income,sofi
Money Promo Bonus,income,sofi
IRS TREAS,income,irs
STATEOFMICHIGAN PMT,income,irs
RELIABLE TOYOTA SERV,utilities,car emi
